"Index","Item ID","Title","Layer","Class","Status","WIP","Assignee","Tested","Prerequisites","Code Location","Notes"
"53","T-001","app/templates/public/login.html","template","Login page","Done","","inamonanymous","Not Tested","","app/templates/public/login.html","Uses `users.login` route"
"54","T-002","app/templates/public/register.html","template","Registration page","Done","","inamonanymous","Not Tested","","app/templates/public/register.html","Uses `users.registration` route"
"55","T-003","app/templates/public/forgot-password.html","template","Password recovery page","Done","","inamonanymous","Not Tested","","app/templates/public/forgot-password.html","Route wiring TBD"
"56","T-101","app/templates/auth/pages/dashboard.html","template","Dashboard","Done","","inamonanymous","Not Tested","","app/templates/auth/pages/dashboard.html","Uses dashboard metrics"
"57","T-102","app/templates/auth/pages/expense.html","template","Expense list + modal","Done","","inamonanymous","Not Tested","","app/templates/auth/pages/expense.html","Uses categories + expenses"
"58","T-103","app/templates/auth/pages/income.html","template","Income list + modal","Done","","inamonanymous","Not Tested","","app/templates/auth/pages/income.html","Uses categories + income"
"59","T-201","app/templates/auth/layout.html","template","Layout shell","Done","","inamonanymous","Not Tested","","app/templates/auth/layout.html","Base layout"
"60","T-202","app/templates/auth/partials/topbar.html","template","Top nav","Done","","inamonanymous","Not Tested","","app/templates/auth/partials/topbar.html",""
"61","T-203","app/templates/auth/partials/sidebar.html","template","Sidebar nav","Done","","inamonanymous","Not Tested","","app/templates/auth/partials/sidebar.html",""
"62","T-204","app/templates/auth/partials/footer.html","template","Footer","Done","","inamonanymous","Not Tested","","app/templates/auth/partials/footer.html",""
"63","T-205","app/templates/auth/modals/logout.html","template","Logout modal","Done","","inamonanymous","Not Tested","","app/templates/auth/modals/logout.html",""
